institution_code,catalog_number,recorded_by,year,month,decimal_latitude,decimal_longitude,location,species,generic_name,specific_name,day,.val,.equ,.zer,.cap,.cen,.sea,.otl,.gbf,.inst,.summary
NZAC,NZAC04040211,JC Watt,1980,9,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi Island",Anagotus species_d,Anagotus,species_d,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04266257,NA,1981,12,-35.478652,174.742441,"Poor Knights Islands, Aorangi Island, Crater Bay",Anagotus NA,Anagotus,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04273127,G Kuschel,1980,12,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi Island",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04273247,G Kuschel,1980,12,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi Island",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04273397,JC Watt,1956,1,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi Island",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04273337,"Majors Buddle, Wilson",1943,1,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi Island",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04273217,JS Dugdale,1981,11,-35.478652,174.742441,"Poor Knights Islands, Aorangi Island, Puweto Valley",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04273307,JC Watt,1981,11,-35.478652,174.742441,Poor Knights Islands,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04273187,Coll?,NA,NA,-35.911594,175.101085,Mokohinau Islands,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04273157,I Southey,1983,5,-36.63714,175.861759,"Mercury Islands, Middle Island",Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
