Repository,NZAC_Accession_Number,Specimen_Kind,Quantity,Order,Family,Collection_Name,Taxon_Name,Taxon_Note,NEIL_manuscript_name,Determiner,Determination_Date,Determination_Note,Type_Status,Country,New_Zealand_Area_Code,Locality,NEIL_guess_location,NEIL_guess_coordinates,NEIL_check_w_Rich,Altitude ,Day,Month,Year,2nd date,Collectors,Collector_No,Method,Habitat,Microhabitat,Collection_Event_Note,Verbatim_Geocoordinates ,Sex,Stages,copy to WORD,NEIL_Determination_INFO,NEIL_Drawer_INFO,Neil_Specimen_Note,Neil_Other
NZAC,NZAC04212549,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04212545,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island, Castaway Camp","Three Kings Islands, Great Island, Castaway Camp","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,Reared,,ex. Cyperus ustulatus,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04212557,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island, Castaway Camp","Three Kings Islands, Great Island, Castaway Camp","-34.15959, 172.1393",,,1,11,1970,,,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04212551,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island, Castaway Camp","Three Kings Islands, Great Island, Castaway Camp","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,Cyperus ustulatus,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04212552,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Southwest Island","Three Kings Islands, Southwest Island","-34.17604, 172.07208",,,11,12,1963,,P Johns,,At night,,Phormium,,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04212544,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Southwest Island","Three Kings Islands, Southwest Island","-34.17604, 172.07208",,,11,12,1963,,P Johns,,,Meryua Forest,,,,,Adult,,,triregius n. sp.,"contains several mites, similar colour to scales",
NZAC,NZAC04212546,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island, West End","Three Kings Islands, Great Island, West End","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04212556,Pinned,1,Coleoptera,Curculionidae,,"Anagotus turbotti Spiller, 1942",,,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,,,
NZAC,NZAC04212555,Pinned,1,Coleoptera,Curculionidae,,"Anagotus turbotti Spiller, 1942",,,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,,,
NZAC,NZAC04212550,Pinned,1,Coleoptera,Curculionidae,,"Anagotus turbotti Spiller, 1942",,,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,,,
NZAC,NZAC04212543,Pinned,1,Coleoptera,Curculionidae,,"Anagotus turbotti Spiller, 1942",,,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,,,
NZAC,NZAC04212548,Pinned,1,Coleoptera,Curculionidae,,"Anagotus turbotti Spiller, 1942",,,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,,,
NZAC,NZAC04212547,Pinned,1,Coleoptera,Curculionidae,,"Anagotus turbotti Spiller, 1942",,,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,,,
