Accession number ,SpeciesCode,GenusName,SpeciesName,"Species
Author&Date",location,AreaCode,Latitude,Longitude,CollectedBy,DateCollected1,DateCollected2,Site/altitude,"Collection
Method","Source/
Habitat/
host",Stage/sex,DeterminedBy,DateDetermined,StorageType,TypeStatus
LUNZ00001362,Colanagrugo,Anagotus,rugosus,(Broun),North Brother Island ,SD,-41.10291,174.44157,J.W.M. Marris,20/11/1993,,,,Under rocks at night ,,,,Pinned,
LUNZ00001363,Colanagrugo,Anagotus,rugosus,(Broun),North Brother Island ,SD,-41.10291,174.44157,G.W. Gibbs,20/11/1993,,,,Under rocks at night ,,,,Pinned,
LUNZ00001326,Colanaggran,Anagotus,graniger,(Broun),"Rock and Pillar Range, McPhees Rock Track",CO,-45.47218,169.98679,R.M. Emerson,10/02/1986,,,,Bog vegetation at night,,,,Pinned,
LUNZ00001106,Collypesp01,Lyperobius,indet.,,"Mount Somers, Woolshed Creek",SC,-43.6135,171.32165,S.M. Pawson,01.02.2002,,,,Aciphylla scott-thompsonii,,,,Pinned,
LUNZ00001105,Collypesp01,Lyperobius,indet.,,"Kahurangi National Park, Lake Clara",NN,-40.89342,172.55877,A. Purves,10/01/2000,,1380 m ,,,,,,Pinned,
LUNZ00001113,Collypesp01,Lyperobius,n. sp. 'Aspiring',,Liverpool Hut,OL,-44.43096,168.66542,J.W. Early,2/02/1987,,1070 m,,Feeding on Anistome,,,,Pinned,
LUNZ00001128,Collypesp01,Lyperobius,n. sp. 'Aspiring',,Liverpool Hut,OL,-44.43096,168.66542,J.W. Early,2/02/1987,,1070 m,,Feeding on Anistome,,,,Pinned,
LUNZ00001112,Collypesp01,Lyperobius,n. sp. 'Aspiring',,Liverpool Hut,OL,-44.43096,168.66542,D.W. Manktelow,2/02/1987,,1070 m,,On rock,,,,Pinned,
LUNZ00001111,Collypesp01,Lyperobius,n. sp. 'Aspiring',,Liverpool Hut,OL,-44.43096,168.66542,D.W. Manktelow,2/02/1987,,1070 m,,Tussock,,,,Pinned,
LUNZ00001129,Collypesp01,Lyperobius,n. sp. 'Aspiring',,Liverpool Hut,OL,-44.43096,168.66542,D.W. Manktelow,2/02/1987,,1070 m,,Tussock,,,,Pinned,
LUNZ00001127,Collypesp01,Lyperobius,indet.,,South west of Albert Burn Saddle,OL,-44.39968,168.86091,B. Brown,24/12/2002,, ,,Sub-alpine zone,,,,Pinned,
LUNZ00001126,Collypesp01,Lyperobius,indet.,,"Dismal Saddle, slopes",OL,-44.8,168.55,C.A. McGuiness,25/02/2003,,1620 m ,,On Aciphylla sp.,,,,Pinned,
LUNZ00001151,Collypesp01,Lyperobius,indet., ,Temple Peak Station ,OL,-44.78495,168.4148,C.J. Vink,26/02/2003,,1740 m,,Speargrass flower,,,,"On card, pinned",
LUNZ00001156,Collypesp01,Lyperobius,indet., ,Temple Peak Station ,OL,-44.78495,168.4148,C.J. Vink,26/02/2003,,1740 m,,Speargrass flower,,,,Pinned,
LUNZ00001150,Collypesp01,Lyperobius,indet., ,"Mount Aspiring, Matukituki Saddle",OL,-44.39886,168.66872,B. Brown,31/12/1999,, , ,On Celmisia sp.,,,,Pinned,
LUNZ00001140,Collypesp01,Lyperobius,indet., ,"Mount Aspiring, Matukituki Saddle",OL,-44.39886,168.66872,B. Brown,31/12/1999,,,,On Aciphylla sp.,,,,Pinned,
LUNZ00001139,Collypesp01,Lyperobius,indet., ,"Mount Gates, below , Forgotten River",OL,-44.47493,168.33075,B. Brown,6/01/2000,, , ,On Aciphylla sp.,,,,Pinned,
LUNZ00001125,Collypesp01,Lyperobius,indet., ,"Mount Gates, below , Forgotten River",OL,-44.47493,168.33075,B. Brown,6/01/2000,, , ,On Aciphylla sp.,,,,Pinned,
LUNZ00001124,Collypesp01,Lyperobius,indet., ,"Mount Gates, below , Forgotten River",OL,-44.47493,168.33075,B. Brown,6/01/2000,, , ,On Aciphylla sp.,,,,Pinned,
LUNZ00001243,Collypesp01,Lyperobius,indet., ,"Olivine Range, northern part",WD,-44.17828,168.61627,B. Brown,15/02/1995,,1341 m,,Open herbfield,,,,Pinned,
LUNZ00001242,Collypesp01,Lyperobius,indet., ,"Olivine Range, northern part",WD,-44.17828,168.61627,B. Brown,15/02/1995,,1341 m,,Open herbfield,,,,Pinned,
LUNZ00001229,Collypesp01,Lyperobius,indet., ,Milford Track,FD,-44.76878,167.76564,C.L. Duston,5/01/1998,,,,Crawling amongst stones,,,,Pinned,
LUNZ00001228,Collypesp01,Lyperobius,indet., ,Milford Track,FD,-44.76878,167.76564,C.L. Duston,10/02/1998,,,,Under log,,,,Pinned,
LUNZ00001230,Collypesp01,Lyperobius,indet., ,Fohn Saddle,WD,-44.52522,168.25897,B. Brown,15/01/1996,,,,On Aciphylla plant,,,,Pinned,
LUNZ00001149,Collypesp01,Lyperobius,indet., ,"Ahuriri Valley, Canyon Creek",MK,-44.21683,169.5787,"R.M. Emberson, P. Syrett",1/04/2005,,1250 m,,On Aciphylla  sp.,,,,Pinned,
LUNZ00001395,Collypesp01,Lyperobius,indet., ,Fog Peak,OL,-43.27017,171.72233,B. McKinley,2/02/2005,,1400 m,,,,,,,
,,,, ,,,,,,,,,,,,,,,
